code,name,district,region,percentage_pass,national_rank,candidates_last,number_pass_last,percentage_pass_last,national_rank_last,school_type,ownership,ward,number_enrolled,number_teaching_staff,number_non_teaching_staff_by_school,number_non_teaching_staff_by_govt,candidates,number_pass,percentage_pass_change,longitude,latitude,Location
PS0101-058,Muungano Primary School,Arusha,Arusha,40,9471,58,7,12.06896552,9398,primary,government,Mlangarini,370,9,,,55,22,27.93103448,36.7352344135,-3.4824339268,"(-3.4824339268, 36.7352344135)"
PS0101-059,Mwandeti Primary School,Arusha,Arusha,7.96460177,14981,110,4,3.636363636,,primary,,,,,,,113,9,4.328238134,36.6004296211,-3.2747429112,"(-3.2747429112, 36.6004296211)"
PS0101-060,Mzimuni Primary School,Arusha,Arusha,30.18867925,9751,62,2,3.225806452,12723,primary,government,Nduruma,440,10,,,53,16,26.96287279,36.8059029407,-3.5050670001,"(-3.5050670001, 36.8059029407)"
PS0101-061,Nambere Primary School,Arusha,Arusha,84.375,2736,82,41,50,2431,primary,government,Sokon  Ii,519,26,,,96,81,34.375,36.7228106814,-3.3565692072,"(-3.3565692072, 36.7228106814)"
PS0101-062,Natema Primary School,Arusha,Arusha,48.80952381,8534,85,18,21.17647059,7142,primary,government,Kiranyi,585,19,,,84,41,27.63305322,36.6726562975,-3.329539931,"(-3.329539931, 36.6726562975)"
PS0101-063,Naurei Primary School,Arusha,Arusha,67.6300578,4116,174,72,41.37931034,,primary,government,Sokon  Ii,1155,38,,,173,117,26.25074746,36.7155668631,-3.3578087765,"(-3.3578087765, 36.7155668631)"
PS0101-064,Nduruma Primary School,Arusha,Arusha,40.42553191,8330,52,27,51.92307692,3209,primary,government,Nduruma,434,12,,,47,19,-11.49754501,36.7931084143,-3.4746524746,"(-3.4746524746, 36.7931084143)"
PS0101-065,Nengungu Primary School,Arusha,Arusha,68,4362,59,21,35.59322034,5393,primary,government,Musa,383,16,,,50,34,32.40677966,,,
PS0101-066,Ngaramtoni Primary School,Arusha,Arusha,85.71428571,2625,77,43,55.84415584,1968,primary,government,Olturumet,524,24,,,70,60,29.87012987,36.6373455556,-3.3102380016,"(-3.3102380016, 36.6373455556)"
PS0101-067,Ng'iresi Primary School,Arusha,Arusha,60.97560976,5622,123,25,20.32520325,6323,primary,government,Sokon  Ii,812,26,,,82,50,40.6504065,36.7336217529,-3.3334702931,"(-3.3334702931, 36.7336217529)"
PS0101-068,Nuru Primary School,Arusha,Arusha,100,754,20,20,100,315,primary,non-government,Moivo,51,6,4,,9,9,0,36.6778506078,-3.3505873218,"(-3.3505873218, 36.6778506078)"
PS0101-071,Olbak Primary School,Arusha,Arusha,34.61538462,11034,72,21,29.16666667,5812,primary,,,,,,,78,27,5.448717949,,,
PS0101-072,Olchoki Primary School,Arusha,Arusha,50.28248588,6881,207,69,33.33333333,4937,primary,government,Kiranyi,1439,39,,,177,89,16.94915254,36.6714183126,-3.3396341557,"(-3.3396341557, 36.6714183126)"
PS0101-073,Olchorovus Primary School,Arusha,Arusha,44.64285714,6876,66,12,18.18181818,10070,primary,government,Musa,702,9,,,56,25,26.46103896,36.5278127235,-3.298987965,"(-3.298987965, 36.5278127235)"
PS0101-074,Oldadai Primary School,Arusha,Arusha,61.03896104,4964,137,55,40.1459854,4395,primary,government,Sokon  Ii,1216,46,,,154,94,20.89297564,,,
PS0101-075,Oldendereti Primary School,Arusha,Arusha,100,1385,30,1,3.333333333,10895,primary,,,,,,,21,21,96.66666667,36.7784257068,-3.5054991775,"(-3.5054991775, 36.7784257068)"
PS0101-076,Oldonyosambu Primary School,Arusha,Arusha,47.14285714,6751,150,6,4,11950,primary,,,,,,,70,33,43.14285714,,,
PS0101-077,Oldonyosapuk Primary School,Arusha,Arusha,35.10638298,9503,84,21,25,6893,primary,,,,,,,94,33,10.10638298,36.710182994,-3.3327830583,"(-3.3327830583, 36.710182994)"
PS0101-078,Oldonyowas Primary School,Arusha,Arusha,55.40540541,6652,93,47,50.53763441,2924,primary,government,O/sambu,607,11,,,74,41,4.867770997,,,
PS0101-079,Olgilai Primary School,Arusha,Arusha,67.27272727,5906,117,18,15.38461538,8700,primary,government,Olturoto,787,28,,,110,74,51.88811189,36.722529921,-3.3418245445,"(-3.3418245445, 36.722529921)"
PS0101-080,Oljoro Primary School,Arusha,Arusha,15.68627451,13427,52,6,11.53846154,8721,primary,government,Oljoro,360,8,,,51,8,4.147812971,36.6879003882,-3.5900435446,"(-3.5900435446, 36.6879003882)"
PS0101-082,Olkokola Primary School,Arusha,Arusha,27.45098039,9684,45,5,11.11111111,8731,primary,government,Olkokola,466,14,,,51,14,16.33986928,,,
PS0101-083,Olmotonyi Primary School,Arusha,Arusha,67.27272727,4452,67,30,44.7761194,3665,primary,government,Olmotonyi,447,16,,,55,37,22.49660787,36.6570602482,-3.2911755838,"(-3.2911755838, 36.6570602482)"
PS0101-084,Olmringiringa Primary School,Arusha,Arusha,33.96226415,10531,128,22,17.1875,8807,primary,government,Kimnyak,950,19,,,106,36,16.77476415,36.6747913797,-3.316555145,"(-3.316555145, 36.6747913797)"
PS0101-085,Olorien Valley Primary School,Arusha,Arusha,100,264,18,17,94.44444444,240,primary,non-government,Olorien,298,13,15,,35,35,5.555555556,,,
PS0101-086,Olokii Primary School,Arusha,Arusha,47.5,8107,49,13,26.53061224,6242,primary,government,Bwawani,169,8,,,40,19,20.96938776,36.8114529366,-3.5896979022,"(-3.5896979022, 36.8114529366)"
PS0101-087,Olosiva Primary School,Arusha,Arusha,87.5,3351,89,24,26.96629213,5167,primary,government,Olorieni,887,28,,,88,77,60.53370787,,,
PS0101-088,Olturoto Primary School,Arusha,Arusha,69.76744186,4833,113,11,9.734513274,9778,primary,government,Olturoto,619,31,,,86,60,60.03292859,,,
PS0101-089,Olturumet Primary School,Arusha,Arusha,26.47058824,10410,84,7,8.333333333,9379,primary,government,Olturumet,681,12,,,68,18,18.1372549,36.6089497184,-3.3148338431,"(-3.3148338431, 36.6089497184)"
PS0101-090,Sambasha Primary School,Arusha,Arusha,30,10992,62,6,9.677419355,8415,primary,government,Sambasha,662,13,,,120,36,20.32258065,36.6696934405,-3.296502471,"(-3.296502471, 36.6696934405)"
PS0101-091,Sasi Primary School,Arusha,Arusha,68,5515,83,14,16.86746988,7699,primary,government,Bangata,429,19,,,50,34,51.13253012,36.7451077913,-3.3651096432,"(-3.3651096432, 36.7451077913)"
PS0101-092,Sekei Primary School,Arusha,Arusha,74.53416149,3491,148,87,58.78378378,2177,primary,government,Sokon  Ii,982,32,,,161,120,15.75037771,36.7163420617,-3.3571054896,"(-3.3571054896, 36.7163420617)"
PS0101-093,Seliani Primary School,Arusha,Arusha,38.03680982,10949,179,24,13.40782123,9613,primary,,,,,,,163,62,24.62898859,,,
PS0101-095,Siti Mwinyi Primary School,Arusha,Arusha,100,418,18,18,100,,primary,,,,,,,13,13,0,,,
PS0101-096,Sos Hermann Primary School,Arusha,Arusha,91.42857143,1307,31,27,87.09677419,,primary,,,,,,,35,32,4.331797235,,,
PS0101-098,St Magret Primary School,Arusha,Arusha,100,5,54,54,100,35,primary,,,,,,,49,49,0,,,
PS0101-101,Themi Ya Simba Primary School,Arusha,Arusha,8,14959,33,1,3.03030303,13799,primary,,,,,,,50,4,4.96969697,36.7877950732,-3.5872089382,"(-3.5872089382, 36.7877950732)"
PS0101-102,Timbolo Primary School,Arusha,Arusha,24.41860465,12102,108,13,12.03703704,9750,primary,government,Sambasha,778,16,,,86,21,12.38156761,36.6696003236,-3.297867221,"(-3.297867221, 36.6696003236)"
PS0101-103,Trust St Patrick Primary School,Arusha,Arusha,100,174,93,93,100,,primary,,,,,,,89,89,0,,,
PS0101-104,Umoja Primary School,Arusha,Arusha,18.75,13375,55,3,5.454545455,12738,primary,government,Nduruma,444,10,,,48,9,13.29545455,36.853995637,-3.5153134242,"(-3.5153134242, 36.853995637)"
PS0101-106,Margreth Englands Burks Primary School,Arusha,Arusha,100,653,26,24,92.30769231,702,primary,,,,,,,24,24,7.692307692,,,
PS0101-107,New Life Primary School,Arusha,Arusha,97.95918367,883,61,61,100,331,primary,non-government,Olorien,437,26,16,,49,48,-2.040816327,,,
PS0101-108,Olomitu Primary School,Arusha,Arusha,52.23880597,7137,86,31,36.04651163,4333,primary,government,Mlangarini,516,22,,,67,35,16.19229434,36.7578425229,-3.41310573,"(-3.41310573, 36.7578425229)"
PS0101-109,Yakini Primary School,Arusha,Arusha,100,106,31,31,100,510,primary,non-government,Kisongo,331,19,8,,32,32,0,,,
PS0101-112,Sotwa Wilson Primary School,Arusha,Arusha,85.71428571,3450,7,7,100,669,primary,,,,,,,7,6,-14.28571429,36.6921386812,-3.3486596183,"(-3.3486596183, 36.6921386812)"
PS0101-113,Wilkabaa Primary School,Arusha,Arusha,100,485,23,23,100,287,primary,non-government,Sokon Ii,237,15,3,,25,25,0,36.7191504398,-3.3601404161,"(-3.3601404161, 36.7191504398)"
PS0101-114,Albehije Primary School,Arusha,Arusha,85.71428571,1403,7,7,100,247,primary,non-government,Kiranyi,120,12,6,,7,6,-14.28571429,,,
PS0101-115,New Vision Primary School,Arusha,Arusha,100,466,10,10,100,,primary,non-government,Olturumet,210,13,16,,22,22,0,,,
PS0101-116,Assalaf Islamic Primary School,Arusha,Arusha,100,463,16,16,100,405,primary,,,,,,,9,9,0,,,
PS0101-117,Enjoro Primary School,Arusha,Arusha,35.41666667,8663,40,26,65,1961,primary,government,Mateves,446,9,,,48,17,-29.58333333,36.5982085806,-3.454650875,"(-3.454650875, 36.5982085806)"
PS0101-118,Likamba Integrity Primary School,Arusha,Arusha,100,1185,15,15,100,528,primary,,,,,,,20,20,0,,,
PS0101-119,Mshikamano Primary School,Arusha,Arusha,23.25581395,11481,66,3,4.545454546,11761,primary,government,Nduruma,377,7,,,43,10,18.71035941,36.8132202487,-3.4805124014,"(-3.4805124014, 36.8132202487)"
PS0101-120,St Paulo Primary School,Arusha,Arusha,100,663,21,20,95.23809524,,primary,,,,,,,24,24,4.761904762,,,
PS0101-121,Goodwill Primary School,Arusha,Arusha,100,1470,3,3,100,369,primary,non-government,Moivo,173,9,3,,7,7,0,,,
PS0102-001,Arusha Primary School,Arusha Municipal,Arusha,99.00990099,841,103,90,87.37864078,622,primary,,,,,,,101,100,11.63126021,,,
PS0102-002,Baraa Primary School,Arusha Municipal,Arusha,76.72955975,3377,221,62,28.05429864,6449,primary,government,Baraa,1387,34,3,,159,122,48.67526111,36.7383232014,-3.3894022991,"(-3.3894022991, 36.7383232014)"
PS0102-003,Burka Primary School,Arusha Municipal,Arusha,98.94736842,720,126,113,89.68253968,628,primary,government,Elerai,1398,42,3,,95,94,9.264828739,36.6606911877,-3.3647654021,"(-3.3647654021, 36.6606911877)"
PS0102-004,Engosengiu Primary School,Arusha Municipal,Arusha,85.32110092,1878,281,81,28.82562278,5456,primary,government,Sokon I,1860,35,,,218,186,56.49547814,36.6873273175,-3.4166533576,"(-3.4166533576, 36.6873273175)"
PS0102-005,Kaloleni Primary School,Arusha Municipal,Arusha,87.59689922,1574,170,118,69.41176471,1271,primary,government,Kaloleni,889,49,4,,129,113,18.18513452,36.6903404476,-3.3675030393,"(-3.3675030393, 36.6903404476)"
PS0102-006,Kimandolu Primary School,Arusha Municipal,Arusha,79.55801105,2555,174,89,51.14942529,2623,primary,government,Kimandolu,1274,38,2,,181,144,28.40858576,36.7167098284,-3.3730073909,"(-3.3730073909, 36.7167098284)"
PS0102-007,Kijenge Primary School,Arusha Municipal,Arusha,93.40101523,1212,176,137,77.84090909,1029,primary,government,Sekei,1391,36,3,,197,184,15.56010614,36.7054555325,-3.3774735647,"(-3.3774735647, 36.7054555325)"
PS0102-008,Lemara Primary School,Arusha Municipal,Arusha,70.28301887,3793,145,81,55.86206897,2228,primary,government,Lemara,1201,31,2,,212,149,14.4209499,36.6960157758,-3.4019667598,"(-3.4019667598, 36.6960157758)"
PS0102-009,Levolosi Primary School,Arusha Municipal,Arusha,79.76190476,2332,167,96,57.48502994,1872,primary,government,Levolosi,1034,38,2,,168,134,22.27687482,36.6809346726,-3.3663054681,"(-3.3663054681, 36.6809346726)"
PS0102-010,Meru Primary School,Arusha Municipal,Arusha,94.44444444,1080,108,92,85.18518519,699,primary,government,Kaloleni,976,43,4,,108,102,9.259259259,36.7134390755,-3.44394395,"(-3.44394395, 36.7134390755)"
PS0102-011,Mkonoo Primary School,Arusha Municipal,Arusha,71.13402062,3430,118,64,54.23728814,2279,primary,government,Terrat,862,21,2,,97,69,16.89673248,,,
PS0102-012,Nadosoito Primary School,Arusha Municipal,Arusha,82.20338983,2503,147,33,22.44897959,8187,primary,government,Terrat,593,20,1,,118,97,59.75441024,36.680218,-3.495651,"(-3.495651, 36.680218)"
PS0102-013,Naura Primary School,Arusha Municipal,Arusha,94.25287356,1069,78,59,75.64102564,1160,primary,government,Sekei,662,26,2,,87,82,18.61184792,,,
PS0102-014,Narenaro Primary School,Arusha Municipal,Arusha,75.65217391,2940,276,171,61.95652174,,primary,,,,,,,230,174,13.69565217,36.6780592483,-3.376459075,"(-3.376459075, 36.6780592483)"
PS0102-015,Njiro-hill Primary School,Arusha Municipal,Arusha,92.5,1200,87,65,74.71264368,847,primary,,,,,,,80,74,17.78735632,,,
PS0102-016,Oloirien Primary School,Arusha Municipal,Arusha,80,2921,153,83,54.24836601,2071,primary,government,Oloirien,1063,29,2,,135,108,25.75163399,36.7122560091,-3.3812321343,"(-3.3812321343, 36.7122560091)"
PS0102-017,Sanawari Primary School,Arusha Municipal,Arusha,82.73809524,2257,149,92,61.74496644,1491,primary,government,Sekei,1110,37,1,,168,139,20.9931288,36.6944328812,-3.3599465581,"(-3.3599465581, 36.6944328812)"
PS0102-018,Sinon Primary School,Arusha Municipal,Arusha,86.97183099,2168,357,244,68.34733894,1451,primary,government,Sokon I,2751,55,2,,284,247,18.62449205,,,
PS0102-019,Sombetini Primary School,Arusha Municipal,Arusha,85.25641026,2134,271,159,58.67158672,1638,primary,government,Sombetini,1772,52,3,,312,266,26.58482354,36.6671066793,-3.3901908635,"(-3.3901908635, 36.6671066793)"
PS0102-020,Themi Primary School,Arusha Municipal,Arusha,94.81481481,1098,167,112,67.06586826,1575,primary,government,Themi,1515,41,2,,135,128,27.74894655,36.6934119996,-3.3809432902,"(-3.3809432902, 36.6934119996)"
PS0102-021,Uhuru Primary School,Arusha Municipal,Arusha,99.06976744,360,209,198,94.73684211,391,primary,government,Kati,1558,45,5,,215,213,4.332925337,,,
PS0102-022,Daraja- II Pr. School,Arusha Municipal,Arusha,85.06224066,2126,306,157,51.30718954,,primary,,,,,,,241,205,33.75505112,,,
PS0102-023,Unga-limited Primary School,Arusha Municipal,Arusha,86.34361233,1791,247,152,61.53846154,1557,primary,,,,,,,227,196,24.8051508,,,
PS0102-024,Jaffery Primary School,Arusha Municipal,Arusha,100,632,50,50,100,352,primary,,,,,,,51,51,0,,,
PS0102-026,Maromboso-baptist Primary School,Arusha Municipal,Arusha,100,1019,40,34,85,644,primary,,,,,,,43,43,15,,,
PS0102-028,Arusha Modern Primary School,Arusha Municipal,Arusha,100,239,27,27,100,101,primary,non-government,Elerai,336,15,8,,23,23,0,,,
PS0102-029,Arusha Intergrated Primary School,Arusha Municipal,Arusha,100,747,33,31,93.93939394,814,primary,,,,,,,28,28,6.060606061,36.6580686255,-3.3631410232,"(-3.3631410232, 36.6580686255)"
PS0102-030,Suye Primary School,Arusha Municipal,Arusha,90.57971014,2131,135,109,80.74074074,1133,primary,government,Baraa,1056,28,2,,138,125,9.838969404,36.7219568384,-3.3795013097,"(-3.3795013097, 36.7219568384)"
PS0102-031,Parents Primary School,Arusha Municipal,Arusha,97.6744186,662,49,49,100,211,primary,non-government,Sokon I,251,16,8,,43,42,-2.325581395,36.6791641615,-3.4072505168,"(-3.4072505168, 36.6791641615)"
PS0102-032,Osunyai Primary School,Arusha Municipal,Arusha,72.46835443,3656,386,194,50.25906736,2795,primary,government,Sombetini,2384,53,2,,316,229,22.20928707,36.667124864,-3.390109552,"(-3.390109552, 36.667124864)"
PS0102-033,Imani Primary School,Arusha Municipal,Arusha,100,27,145,145,100,47,primary,non-government,Sombetini,1136,43,32,,159,159,0,36.6688352992,-3.3857656845,"(-3.3857656845, 36.6688352992)"
PS0102-034,Kilimani Primary School,Arusha Municipal,Arusha,100,438,64,63,98.4375,307,primary,non-government,Sekei,734,25,27,,80,80,1.5625,36.7020460674,-3.3622787394,"(-3.3622787394, 36.7020460674)"
PS0102-035,Swift Primary School,Arusha Municipal,Arusha,87.5,721,8,8,100,350,primary,,,,,,,16,14,-12.5,,,
PS0102-036,Prime Primary School,Arusha Municipal,Arusha,100,378,33,31,93.93939394,345,primary,non-government,Sekei,195,17,11,,20,20,6.060606061,,,
PS0102-037,Engarenarok Luth Tetra Pr. Sch,Arusha Municipal,Arusha,100,539,69,69,100,542,primary,,,,,,,62,62,0,,,
PS0102-038,Engira Primary School,Arusha Municipal,Arusha,82.45614035,2859,60,36,60,1441,primary,government,Themi,586,18,1,,57,47,22.45614035,36.6976162164,-3.3946755647,"(-3.3946755647, 36.6976162164)"
PS0102-039,Green Valley Primary School,Arusha Municipal,Arusha,100,199,100,100,100,197,primary,non-government,Sombetini,915,35,36,,119,119,0,36.6637857066,-3.4021872468,"(-3.4021872468, 36.6637857066)"
